age,gender,income,education_level,marital_status,mental_health_condition,savings_amount,employment_status,family_size,debt_amount,physical_activity_level,credit_score,sleep_quality,risk_tolerance,insurance_coverage,social_support_network,stress_level,access_to_healthcare,financial_goals,resilience_score,calculated_risk_score,calculated_resilience_score,net_risk_score,risk_category,risk_resilience_ratio,debt_to_income_ratio
29,1,105463.11,3,2,2,203775.71,1,5,26631.17,3,567,0,0,1,2,3,0,3,28,64,58,6,Medium Risk,1.08,0.25
50,1,199428.1,3,2,3,102687.07,2,3,117529.05,0,543,1,1,1,6,7,1,3,89,49,74,-25,Low Risk,0.65,0.59
24,1,105882.87,1,1,2,207556.56,0,9,22638.22,3,726,0,2,1,0,1,1,0,11,67,62,5,Medium Risk,1.06,0.21
68,1,168661.36,4,1,2,162992.29,1,5,170332.29,2,731,0,0,0,8,4,1,3,100,56,83,-27,Low Risk,0.67,1.01
48,1,105444.24,3,1,3,210753.24,0,1,36062.79,2,433,3,1,1,5,10,0,2,74,71,61,10,Medium Risk,1.15,0.34
31,0,70377.6,2,1,0,156145.52,2,7,189757.47,0,777,0,2,1,5,10,0,0,15,51,66,-15,Low Risk,0.76,2.7
36,1,134332.27,1,2,0,184677.49,2,8,134748.37,3,703,2,2,1,0,9,1,3,9,50,79,-29,Low Risk,0.62,1.0
38,0,177699.63,1,3,2,188383.21,0,1,89476.78,0,728,3,2,0,3,6,1,0,100,70,65,5,Medium Risk,1.06,0.5
60,5,165810.27,2,2,2,31025.03,3,7,246183.47,0,437,0,0,0,7,5,0,4,71,86,53,33,High Risk,1.59,1.48
19,1,172569.51,1,3,1,206011.53,2,2,194538.38,0,335,3,2,1,8,9,1,4,75,70,73,-3,Medium Risk,0.95,1.13
59,1,233930.65,1,0,2,55390.96,2,8,1676.4,0,799,2,2,0,7,6,1,2,3,36,94,-58,Low Risk,0.38,0.01
33,0,67201.41,3,2,2,184258.72,1,9,237460.85,3,330,3,0,0,9,2,1,0,62,100,52,48,High Risk,1.89,3.53
36,1,82223.91,2,1,0,97775.27,0,10,232372.11,3,496,3,1,1,6,4,1,1,22,79,53,26,High Risk,1.46,2.83
46,1,184156.92,3,0,1,90885.55,0,1,131847.4,0,309,2,2,0,5,1,1,2,67,91,51,40,High Risk,1.75,0.72
58,1,208975.93,1,3,0,54818.78,3,1,99212.99,2,365,0,2,1,9,4,1,2,47,38,77,-39,Low Risk,0.49,0.47
37,1,215738.64,4,0,2,196547.49,3,10,189211.69,0,809,1,0,1,9,3,0,3,55,52,95,-43,Low Risk,0.54,0.88
22,1,99055.89,2,2,2,72425.12,1,9,70013.79,2,517,3,2,0,8,4,0,2,69,86,52,34,High Risk,1.62,0.71
56,7,136067.11,1,2,2,28061.37,0,2,97099.44,3,700,2,1,1,6,7,1,0,10,66,60,6,Medium Risk,1.08,0.71
28,0,183028.68,4,3,1,229484.66,3,2,123791.8,2,801,3,2,1,6,0,1,0,24,37,100,-63,Low Risk,0.37,0.68
59,0,2124.4,2,3,0,158975.0,1,10,138811.99,1,839,2,0,1,6,2,1,0,60,36,75,-39,Low Risk,0.47,65.31
41,1,176626.69,2,2,2,66339.21,1,2,233336.3,1,766,0,0,0,2,5,0,3,66,81,65,16,Medium Risk,1.23,1.32
37,1,199707.03,1,2,2,168628.06,2,3,149364.32,3,444,1,2,0,9,10,1,1,28,68,70,-2,Medium Risk,0.96,0.75
30,2,51098.39,3,1,3,59896.46,1,2,69417.86,0,730,1,0,0,10,3,0,3,16,64,57,7,Medium Risk,1.1,1.36
56,0,118143.63,2,3,3,158884.73,2,5,136912.33,1,381,0,2,1,1,8,1,0,43,64,63,1,Medium Risk,1.0,1.16
57,1,27955.89,4,0,3,12781.2,2,6,170407.78,3,532,3,1,1,3,4,1,2,3,47,59,-12,Low Risk,0.78,6.1
63,1,8716.39,1,1,1,214530.74,2,7,78243.36,3,455,3,1,1,9,5,0,3,90,40,62,-22,Low Risk,0.63,8.98
31,0,141543.7,1,0,3,27192.32,3,9,164071.91,1,805,1,1,1,6,7,0,0,47,65,68,-3,Medium Risk,0.94,1.16
19,1,226051.07,4,3,1,229122.88,3,2,235312.98,0,508,2,2,0,1,0,0,1,27,79,70,9,Medium Risk,1.11,1.04
61,0,34878.29,4,0,0,59232.87,3,7,175432.92,0,533,2,0,0,2,8,0,4,51,69,47,22,High Risk,1.44,5.03
64,1,36413.06,2,1,1,28311.68,2,10,156676.35,2,757,0,0,1,5,6,1,1,13,46,67,-21,Low Risk,0.68,4.3
36,0,91655.53,3,1,0,159461.46,1,4,201659.63,0,427,1,0,1,10,3,1,2,15,62,53,9,Medium Risk,1.15,2.2
76,1,37790.89,3,3,0,22094.74,3,5,81814.87,2,751,3,1,1,3,3,0,2,53,14,78,-64,Low Risk,0.18,2.16
76,0,174980.01,4,1,1,108066.34,1,7,229964.95,0,316,1,0,1,1,0,1,0,72,73,56,17,Medium Risk,1.28,1.31
35,1,30830.29,3,0,2,103529.35,2,5,100846.43,0,465,0,0,0,1,0,1,3,6,66,42,24,High Risk,1.53,3.27
74,1,238750.51,3,3,0,151501.9,2,1,199869.93,3,827,0,2,1,3,6,0,1,21,38,100,-62,Low Risk,0.38,0.84
52,0,30675.18,4,0,1,55205.01,1,7,109446.79,2,456,2,0,0,9,7,1,1,3,75,52,23,High Risk,1.42,3.57
63,0,120662.49,4,1,1,78253.59,3,2,45889.33,2,727,3,1,0,8,7,1,1,66,30,90,-60,Low Risk,0.33,0.38
43,0,127624.39,2,1,3,67508.99,1,6,44907.38,2,817,2,0,0,7,0,1,2,77,38,82,-44,Low Risk,0.46,0.35
69,0,97197.19,4,3,3,55675.34,3,1,66413.96,1,683,0,1,0,0,2,0,3,67,53,67,-14,Low Risk,0.78,0.68
67,1,248038.79,1,1,3,78094.32,1,10,110197.62,3,562,3,1,1,0,0,1,4,56,59,68,-9,Medium Risk,0.86,0.44
46,4,144367.33,3,3,2,170769.78,2,5,41886.73,1,491,2,0,1,0,3,1,3,40,41,72,-31,Low Risk,0.56,0.29
77,1,131068.01,4,1,3,207623.44,3,4,49297.12,0,502,2,2,0,2,1,1,1,6,33,74,-41,Low Risk,0.44,0.38
29,3,10983.32,1,2,3,10560.5,1,1,26317.4,3,724,0,2,1,6,6,1,2,3,61,53,8,Medium Risk,1.13,2.4
36,1,211787.32,1,1,2,148383.83,1,10,232071.23,0,451,0,0,0,4,3,0,1,46,93,51,42,High Risk,1.79,1.1
41,1,126461.46,3,0,2,194523.83,1,1,28232.11,2,453,3,0,0,9,2,1,3,55,59,65,-6,Medium Risk,0.89,0.22
71,1,238592.33,4,1,3,38160.81,3,2,93069.85,1,368,2,1,0,5,9,0,4,8,58,74,-16,Low Risk,0.77,0.39
18,0,1639.57,4,0,0,137338.47,0,6,139218.21,0,731,3,2,1,0,2,0,3,6,77,54,23,High Risk,1.4,84.86
66,2,193078.51,2,2,0,8002.48,2,2,224553.06,0,367,3,2,1,5,3,1,0,2,61,60,1,Medium Risk,1.0,1.16
57,1,9119.99,4,2,2,146208.8,1,7,201673.1,2,787,1,2,1,7,8,1,1,46,62,80,-18,Low Risk,0.77,22.11
48,2,235071.4,2,0,1,204062.38,3,10,135038.22,3,680,0,2,1,3,9,1,1,52,66,86,-20,Low Risk,0.76,0.57
77,0,56842.57,2,3,2,5766.25,0,8,4277.01,0,313,2,0,1,7,6,1,1,51,64,54,10,Medium Risk,1.16,0.08
66,0,111456.41,3,0,3,24266.94,3,3,119773.12,1,783,0,2,1,8,0,0,3,29,42,83,-41,Low Risk,0.5,1.07
61,0,23690.78,1,1,1,119985.36,2,6,111995.1,1,840,2,1,0,8,1,1,0,88,38,74,-36,Low Risk,0.51,4.73
73,0,96839.1,2,1,0,215599.77,3,9,1572.93,3,405,0,1,1,1,6,0,1,77,46,64,-18,Low Risk,0.71,0.02
19,0,6722.27,2,1,2,108529.72,0,2,10817.17,3,819,3,2,0,4,5,1,1,35,61,66,-5,Medium Risk,0.91,1.61
45,0,222289.24,2,3,2,240366.25,3,3,177558.57,1,347,3,2,1,9,2,0,2,43,63,83,-20,Low Risk,0.75,0.8
43,0,140033.21,4,0,3,134777.99,2,2,85083.37,3,626,0,0,1,1,2,0,3,63,50,64,-14,Low Risk,0.77,0.61
27,0,23696.67,1,1,0,147984.33,0,6,12127.98,0,804,2,2,1,8,2,1,1,55,39,69,-30,Low Risk,0.56,0.51
51,1,205166.65,1,1,0,7122.39,3,6,232314.97,0,474,0,2,1,7,5,0,4,17,53,57,-4,Medium Risk,0.91,1.13
25,1,214745.35,4,2,2,191401.93,3,9,91522.12,1,618,0,1,1,8,0,1,1,52,52,83,-31,Low Risk,0.62,0.43
75,0,237693.31,3,1,3,42506.7,2,4,71050.32,1,502,3,0,1,5,9,1,2,62,39,78,-39,Low Risk,0.49,0.3
78,1,110286.26,3,2,1,226056.51,3,5,249936.2,2,792,2,0,0,9,1,0,0,4,56,86,-30,Low Risk,0.64,2.27
56,0,65363.59,4,0,3,19641.5,2,7,228527.39,3,427,3,0,0,2,9,1,0,31,80,52,28,High Risk,1.51,3.5
48,0,11420.34,3,1,3,66451.55,3,6,70018.01,0,807,3,2,0,8,7,1,0,27,38,75,-37,Low Risk,0.5,6.13
61,0,45249.18,4,0,0,25955.35,1,7,181735.41,0,300,0,2,1,10,4,0,4,45,73,47,26,High Risk,1.52,4.02
18,1,21862.69,2,1,3,227019.71,1,4,195936.28,2,377,1,1,1,10,3,1,4,86,75,50,25,High Risk,1.47,8.96
39,1,54902.63,3,3,1,222923.53,1,7,233268.88,0,524,1,1,0,1,8,0,1,28,88,52,36,High Risk,1.66,4.25
81,0,30093.12,2,3,3,80049.9,3,10,219292.1,0,698,1,2,0,5,7,1,3,44,59,64,-5,Medium Risk,0.91,7.29
50,3,160608.73,1,2,1,168289.31,1,1,247331.17,3,557,2,1,1,6,4,1,4,75,79,65,14,Medium Risk,1.2,1.54
40,0,248673.66,3,0,2,150246.14,0,5,246606.74,0,536,0,2,0,2,8,0,2,47,100,55,45,High Risk,1.79,0.99
85,0,188233.12,4,0,0,188868.11,2,6,241001.07,1,343,2,0,0,0,0,0,3,22,73,68,5,Medium Risk,1.06,1.28
31,0,62455.32,3,1,3,37209.15,1,1,26079.74,1,684,0,0,1,7,8,0,3,53,61,50,11,Medium Risk,1.2,0.42
45,1,159256.2,4,3,0,31301.81,3,4,160816.35,2,366,0,0,1,10,7,1,3,26,53,73,-20,Low Risk,0.72,1.01
73,0,140360.48,3,1,1,185688.67,3,10,102970.18,1,618,2,2,1,10,2,1,2,80,41,81,-40,Low Risk,0.5,0.73
71,3,43871.47,2,2,1,68363.56,0,4,10580.75,0,762,2,0,0,10,5,0,0,11,64,59,5,Medium Risk,1.07,0.24
69,1,227544.72,3,2,1,67223.92,1,3,2804.08,1,492,3,1,1,5,5,0,3,71,50,75,-25,Low Risk,0.66,0.01
75,1,101966.57,3,1,2,91816.29,0,7,169057.9,1,607,0,2,1,8,1,1,2,96,63,65,-2,Medium Risk,0.95,1.66
72,0,152253.9,2,2,3,161882.8,1,9,193451.81,3,425,3,0,0,3,6,1,2,20,89,63,26,High Risk,1.39,1.27
50,5,213384.7,1,0,0,224773.56,1,6,574.12,2,576,1,0,1,3,1,0,3,45,45,65,-20,Low Risk,0.68,0.0
70,1,199629.76,3,0,2,193407.98,1,10,193606.69,0,573,3,1,0,10,6,0,1,4,84,69,15,Medium Risk,1.2,0.97
72,1,29502.35,1,2,3,50521.6,2,10,152003.9,2,403,3,2,0,3,10,0,0,29,82,48,34,High Risk,1.67,5.15
40,0,16140.35,4,2,3,236929.39,0,5,75274.21,2,502,0,1,1,0,1,1,2,76,78,46,32,High Risk,1.66,4.66
43,0,73832.71,3,3,1,179193.24,2,7,27327.79,2,346,2,0,0,5,9,1,0,82,53,64,-11,Low Risk,0.82,0.37
34,0,83733.37,1,1,0,170156.27,3,9,221536.12,2,667,1,1,1,2,5,1,3,79,57,61,-4,Medium Risk,0.92,2.65
68,2,20776.87,3,0,3,218879.43,2,3,214128.6,1,667,0,1,1,4,2,1,4,22,56,71,-15,Low Risk,0.78,10.31
76,0,5311.79,1,0,0,146254.32,1,3,136842.11,0,423,2,2,1,1,8,1,3,23,63,45,18,Medium Risk,1.37,25.76
59,1,49313.45,3,0,1,71105.87,0,8,167730.03,0,777,1,0,0,0,6,1,4,6,85,50,35,High Risk,1.67,3.4
40,1,152284.74,3,0,0,16658.64,2,2,181868.47,0,369,1,1,0,8,5,0,1,3,65,58,7,Medium Risk,1.1,1.19
25,0,207960.9,4,2,3,137218.84,1,10,180422.45,1,779,1,0,1,5,0,1,0,3,70,80,-10,Low Risk,0.86,0.87
73,1,235144.63,4,3,0,96105.42,3,7,118876.09,0,846,3,1,0,5,3,1,1,46,24,100,-76,Low Risk,0.24,0.51
21,0,182798.6,1,1,3,115243.07,0,6,73873.06,1,768,1,0,0,10,7,1,4,48,73,67,6,Medium Risk,1.07,0.4
73,1,110071.92,2,3,2,59850.66,0,4,118294.71,3,630,0,1,0,5,6,0,0,73,77,57,20,Medium Risk,1.33,1.07
49,1,140892.53,1,0,2,247135.58,2,2,82637.5,1,344,0,0,0,9,6,0,4,61,69,58,11,Medium Risk,1.17,0.59
46,1,20808.9,1,1,1,76839.23,2,6,66684.62,1,475,1,0,1,4,5,0,4,19,43,40,3,Medium Risk,1.05,3.2
56,0,50694.63,2,1,2,41917.6,3,4,181801.81,2,418,0,2,0,5,2,1,3,90,63,51,12,Medium Risk,1.21,3.59
76,0,16891.13,3,3,0,214263.75,1,1,155742.08,1,789,3,1,1,4,0,0,0,1,46,73,-27,Low Risk,0.62,9.22
46,0,8139.54,1,0,2,197114.12,0,4,208666.58,2,721,0,2,1,7,8,1,2,68,86,58,28,High Risk,1.46,25.63
46,1,130213.0,1,2,1,100191.05,3,7,193831.96,0,794,2,2,1,1,4,0,0,97,51,67,-16,Low Risk,0.75,1.49
67,0,200722.17,4,2,3,38151.65,3,3,193353.11,0,308,0,2,0,9,4,0,3,24,79,72,7,Medium Risk,1.08,0.96
74,0,151735.36,1,0,2,110001.48,3,10,39305.84,2,692,0,1,1,2,10,0,4,96,52,76,-24,Low Risk,0.68,0.26
43,1,35801.69,2,1,0,32246.59,3,6,141597.19,2,328,3,2,1,0,9,1,0,24,51,44,7,Medium Risk,1.13,3.95
37,0,169178.62,4,1,1,142393.11,1,2,165451.97,2,319,0,1,1,1,3,0,2,29,83,57,26,High Risk,1.43,0.98
48,0,131672.41,1,0,3,197687.02,1,10,118263.99,1,377,1,0,0,4,9,0,4,65,99,46,53,High Risk,2.11,0.9
68,0,108.34,2,0,2,201323.12,3,7,112238.33,0,355,3,1,0,3,0,1,4,77,61,53,8,Medium Risk,1.13,1026.51
21,0,118426.12,4,1,3,61651.63,1,3,211838.82,3,549,3,1,0,2,5,0,4,55,95,57,38,High Risk,1.64,1.79
71,0,246673.62,1,0,1,79463.5,3,1,18590.84,3,691,1,1,1,7,10,1,3,29,34,88,-54,Low Risk,0.38,0.08
78,0,180340.45,2,2,2,149793.56,2,8,48027.23,2,573,0,2,1,3,7,1,2,1,48,77,-29,Low Risk,0.62,0.27
56,0,91696.81,2,0,0,136593.24,0,1,189148.51,0,423,2,2,0,8,0,0,4,95,91,48,43,High Risk,1.86,2.06
19,0,137208.62,4,0,1,60370.94,0,4,83422.71,3,339,1,2,0,2,10,0,3,49,100,50,50,High Risk,1.96,0.61
75,0,93500.97,2,3,3,196297.05,1,8,59569.16,2,405,3,2,1,2,6,1,0,51,59,62,-3,Medium Risk,0.94,0.64
19,0,112990.88,2,2,3,17918.08,2,5,222200.04,0,511,0,1,0,7,4,1,4,98,85,46,39,High Risk,1.81,1.97
54,1,231519.4,2,0,2,210610.51,1,4,163214.74,3,795,3,2,1,1,2,1,0,63,51,89,-38,Low Risk,0.57,0.7
65,1,44077.93,4,1,1,98851.42,3,2,202274.82,2,683,3,1,0,3,6,0,0,70,58,61,-3,Medium Risk,0.94,4.59
47,1,64500.9,4,3,3,26500.12,2,9,96830.22,3,748,2,2,0,4,6,0,3,80,46,83,-37,Low Risk,0.55,1.5
43,1,73494.28,1,0,1,61201.5,2,8,169540.68,1,526,2,1,0,2,6,0,3,40,81,48,33,High Risk,1.65,2.31
75,1,229834.48,2,0,3,106936.06,0,8,235187.01,1,361,1,0,1,3,4,1,1,19,91,58,33,High Risk,1.54,1.02
63,1,187272.85,2,0,0,150093.84,1,6,170282.2,2,595,3,2,0,0,7,0,3,100,74,62,12,Medium Risk,1.17,0.91
83,1,171918.18,3,0,2,31150.52,3,3,36779.23,1,809,0,2,1,2,2,0,3,13,27,91,-64,Low Risk,0.29,0.21
80,0,101209.68,4,3,2,174165.2,1,9,217065.84,3,579,3,1,1,7,9,0,3,48,77,78,-1,Medium Risk,0.97,2.14
78,0,171430.52,2,1,0,176338.04,0,9,162335.65,3,536,3,1,0,1,4,0,4,48,88,59,29,High Risk,1.47,0.95
83,1,35761.49,4,2,1,79551.82,1,8,244618.52,1,485,2,0,1,7,7,1,0,37,81,49,32,High Risk,1.62,6.84
46,0,197128.39,3,1,3,217819.96,2,10,222224.82,1,535,3,0,1,10,1,1,4,7,62,77,-15,Low Risk,0.79,1.13
81,1,105750.69,1,2,2,144784.43,2,3,52384.42,1,406,1,1,1,10,3,0,2,73,46,66,-20,Low Risk,0.69,0.5
54,1,200762.11,4,2,0,129296.32,2,2,94938.6,0,698,2,1,0,3,0,0,2,18,39,83,-44,Low Risk,0.46,0.47
45,0,66706.25,1,2,3,207548.8,1,6,108406.74,2,670,3,1,0,7,2,0,1,56,73,64,9,Medium Risk,1.12,1.63
26,0,83317.55,3,3,0,147068.39,2,6,4198.21,1,479,2,0,0,7,3,1,3,60,39,69,-30,Low Risk,0.56,0.05
19,1,189504.22,4,2,3,242796.25,0,4,86191.3,1,665,2,2,0,0,5,1,4,72,83,67,16,Medium Risk,1.22,0.45
25,7,2264.18,4,2,0,57833.43,1,9,33604.84,3,738,1,2,0,0,3,0,2,68,68,60,8,Medium Risk,1.11,14.84
34,0,215689.47,3,0,3,168232.36,3,6,240914.22,1,427,1,1,0,9,10,1,4,67,84,70,14,Medium Risk,1.18,1.12
52,1,95571.62,4,3,2,527.91,1,9,71092.08,0,849,0,0,1,2,10,0,4,82,54,68,-14,Low Risk,0.78,0.74
34,0,155673.37,4,3,0,34370.13,3,1,147107.03,0,355,0,0,1,7,2,0,3,85,63,58,5,Medium Risk,1.07,0.94
53,2,128878.83,4,1,0,76483.03,1,6,154796.96,1,540,2,2,1,4,3,1,3,4,54,65,-11,Low Risk,0.82,1.2
34,0,58206.68,1,2,1,142812.08,1,1,138589.37,1,313,0,0,1,7,10,1,1,34,92,42,50,High Risk,2.14,2.38
68,7,95878.7,3,2,2,178173.95,0,7,50260.6,3,481,2,1,1,3,7,1,2,21,77,59,18,Medium Risk,1.28,0.52
27,1,92808.9,4,3,2,87270.66,3,5,113324.14,0,502,2,0,0,4,6,0,2,10,64,56,8,Medium Risk,1.12,1.22
23,1,232201.0,4,0,0,185950.58,2,5,21436.29,2,799,1,1,0,8,9,0,2,81,42,100,-58,Low Risk,0.42,0.09
82,1,51128.37,1,1,2,119670.81,2,8,141115.17,1,359,3,2,1,1,4,0,0,18,61,52,9,Medium Risk,1.15,2.76
55,4,113374.05,4,0,0,94187.65,0,5,245531.68,0,842,0,2,1,6,1,0,1,62,75,78,-3,Medium Risk,0.95,2.17
33,1,195121.37,4,1,1,126984.38,0,9,40125.2,3,417,1,2,0,5,2,0,1,85,82,66,16,Medium Risk,1.22,0.21
55,1,68562.83,1,0,2,50332.76,0,9,20978.27,0,587,2,2,1,6,6,0,3,90,70,47,23,High Risk,1.46,0.31
63,0,79074.59,3,0,1,183350.02,1,2,205943.31,0,722,1,0,1,0,0,0,4,73,69,56,13,Medium Risk,1.21,2.6
81,2,71633.72,1,1,0,198484.05,3,6,35153.63,0,494,2,0,0,1,10,1,2,89,44,48,-4,Medium Risk,0.9,0.49
26,1,44461.53,4,1,1,32776.54,1,1,39032.28,3,711,0,1,0,5,5,1,1,60,50,56,-6,Medium Risk,0.88,0.88
29,0,215893.16,3,0,0,106913.52,0,6,80346.27,3,661,3,1,0,2,5,0,1,71,77,77,0,Medium Risk,0.99,0.37
39,1,20136.92,4,1,2,228678.99,1,5,140919.24,2,625,1,2,0,8,3,1,2,31,55,63,-8,Medium Risk,0.86,7.0
75,1,50890.5,4,1,3,1154.71,2,5,73226.99,1,782,3,2,1,1,3,1,0,42,20,75,-55,Low Risk,0.26,1.44
66,0,204212.15,1,0,0,50771.28,2,3,9369.16,2,647,0,0,0,4,8,1,3,38,35,75,-40,Low Risk,0.46,0.05
56,1,5452.01,4,0,3,154235.68,3,7,138818.99,0,529,2,2,0,8,3,1,3,72,51,61,-10,Low Risk,0.82,25.46
31,1,123976.54,3,0,3,53513.79,2,2,116392.95,2,414,1,2,1,2,5,1,2,91,58,61,-3,Medium Risk,0.94,0.94
75,3,84346.43,3,3,1,197773.34,0,6,118149.77,1,512,2,2,0,2,0,1,2,35,81,57,24,High Risk,1.4,1.4
30,0,114244.34,1,2,0,45512.37,1,10,22281.13,1,455,1,1,1,1,2,1,0,86,62,43,19,Medium Risk,1.41,0.2
28,1,6907.67,3,2,3,537.87,1,5,199940.68,1,630,2,2,0,5,1,1,4,10,73,42,31,High Risk,1.7,28.94
65,0,16547.42,4,1,2,215710.65,2,3,148864.11,3,300,3,2,0,4,0,0,0,83,62,66,-4,Medium Risk,0.93,9.0
19,0,234162.26,3,0,3,239141.27,3,3,62924.14,0,488,0,2,1,0,9,0,3,17,77,66,11,Medium Risk,1.15,0.27
27,1,217478.97,4,2,2,25271.21,1,5,70757.87,1,743,3,0,0,7,10,1,2,6,65,81,-16,Low Risk,0.79,0.33
43,1,31949.46,3,0,2,67797.37,3,10,214273.79,2,327,3,0,1,6,5,0,4,78,77,52,25,High Risk,1.45,6.71
55,6,113486.41,2,1,3,248271.99,0,6,9117.79,0,661,2,1,0,8,8,1,3,53,65,72,-7,Medium Risk,0.89,0.08
18,0,170765.16,3,3,2,238127.5,1,5,43273.32,0,791,3,0,0,4,9,0,1,38,61,87,-26,Low Risk,0.69,0.25
27,1,42704.73,3,3,3,171111.28,0,6,81532.34,3,507,2,2,1,2,10,1,2,88,74,54,20,Medium Risk,1.35,1.91
63,1,167488.99,4,1,2,90108.84,0,10,38483.76,3,686,3,0,0,4,0,0,4,36,64,76,-12,Low Risk,0.83,0.23
58,1,188868.71,1,0,2,152176.01,2,7,138770.89,0,667,0,0,0,4,9,1,1,35,56,66,-10,Low Risk,0.84,0.73
71,0,199681.38,4,3,1,87712.95,2,2,175164.78,1,761,0,2,1,6,5,0,1,18,42,96,-54,Low Risk,0.43,0.88
85,1,136008.13,3,1,0,140571.3,1,3,103427.36,2,533,3,2,0,3,7,0,3,65,58,65,-7,Medium Risk,0.88,0.76
81,0,229260.01,1,2,2,86855.67,3,3,186554.1,3,761,0,1,0,0,9,0,0,69,70,77,-7,Medium Risk,0.9,0.81
74,1,170185.17,3,3,3,76579.53,1,10,135596.92,1,746,3,1,1,9,0,1,1,88,41,93,-52,Low Risk,0.44,0.8
58,1,68430.31,3,2,0,195065.26,3,4,89639.2,2,655,2,2,1,4,8,1,4,51,31,77,-46,Low Risk,0.4,1.31
71,0,219709.32,1,1,1,191310.21,0,1,97065.06,2,345,3,0,0,7,3,1,4,49,78,61,17,Medium Risk,1.26,0.44
83,0,154608.68,1,0,3,239937.69,2,8,4388.31,1,371,2,1,1,4,3,1,1,47,45,79,-34,Low Risk,0.56,0.03
37,1,228714.1,4,3,2,59516.48,1,8,6017.64,3,642,0,2,0,7,5,0,2,64,53,88,-35,Low Risk,0.6,0.03
37,0,123463.91,2,2,1,79965.08,1,8,7.62,3,704,3,1,0,7,0,1,4,82,57,81,-24,Low Risk,0.7,0.0
85,1,131302.16,4,1,1,35863.36,0,2,158075.78,2,685,3,1,1,1,8,0,1,18,76,61,15,Medium Risk,1.23,1.2
76,5,95538.12,2,3,3,11801.52,0,9,229665.53,3,390,0,0,1,7,4,1,3,35,93,50,43,High Risk,1.82,2.4
27,1,35284.29,1,2,0,157741.35,0,4,58306.58,1,814,0,1,1,4,4,1,2,78,55,60,-5,Medium Risk,0.9,1.65
42,1,39825.01,1,3,2,29264.2,2,3,230085.2,2,494,0,0,1,8,1,0,3,61,64,48,16,Medium Risk,1.31,5.78
40,0,29889.59,3,3,2,249618.57,3,3,107622.51,2,721,1,1,1,6,7,0,1,71,45,77,-32,Low Risk,0.58,3.6
84,1,247020.98,4,0,1,19862.8,2,8,4268.64,0,434,1,0,0,6,6,0,3,59,56,73,-17,Low Risk,0.76,0.02
76,0,168237.46,1,3,1,20978.48,1,10,19482.7,3,313,0,2,0,2,9,1,2,32,71,67,4,Medium Risk,1.04,0.12
24,0,177358.14,4,2,3,165720.14,1,8,179080.03,1,575,1,2,1,10,5,1,1,25,87,68,19,Medium Risk,1.26,1.01
67,1,223182.11,2,3,2,12575.08,0,7,31703.57,2,322,0,1,1,1,3,1,3,69,61,65,-4,Medium Risk,0.92,0.14
61,1,232838.77,1,2,3,198768.88,0,10,58729.62,3,303,2,0,1,9,9,1,4,52,86,70,16,Medium Risk,1.21,0.25
24,1,135227.86,2,0,3,141681.34,3,4,29710.52,0,833,0,1,1,10,2,1,1,24,32,88,-56,Low Risk,0.36,0.22
45,0,142347.86,1,3,1,162063.91,2,1,58506.63,3,658,1,2,0,7,2,1,4,87,44,79,-35,Low Risk,0.55,0.41
65,0,107739.46,1,3,1,228590.26,1,3,38609.48,1,584,0,0,0,10,2,1,2,46,49,66,-17,Low Risk,0.73,0.36
39,1,8437.35,4,2,3,25563.14,3,7,151355.6,1,504,1,2,0,8,9,1,0,88,69,48,21,High Risk,1.41,17.94
