age,gender,income,education_level,marital_status,mental_health_condition,savings_amount,employment_status,family_size,debt_amount,physical_activity_level,credit_score,sleep_quality,risk_tolerance,insurance_coverage,social_support_network,stress_level,access_to_healthcare,financial_goals,resilience_score,calculated_risk_score,calculated_resilience_score,net_risk_score,risk_category,risk_resilience_ratio,debt_to_income_ratio
60,1,105709.13,2,0,0,118327.7,0,8,66855.15,3,489,1,2,1,5,7,1,1,85,68,59,9,Medium Risk,1.13,0.63
64,1,42651.42,2,0,3,120164.63,1,3,205059.09,2,379,0,0,1,5,7,1,2,20,80,46,34,High Risk,1.7,4.81
54,0,155461.89,2,2,2,227731.62,1,1,75975.92,2,612,2,2,1,8,4,0,3,45,58,75,-17,Low Risk,0.76,0.49
79,1,102160.19,3,2,3,2656.17,1,4,111987.26,0,519,3,0,0,0,2,1,1,52,68,44,24,High Risk,1.51,1.1
60,1,227026.32,4,0,0,61537.36,0,4,19395.96,3,632,3,2,0,4,7,1,3,9,51,82,-31,Low Risk,0.61,0.09
80,1,170222.89,3,0,3,218020.66,1,3,195797.08,3,420,2,0,0,8,10,1,0,76,77,67,10,Medium Risk,1.13,1.15
55,0,237203.27,3,2,3,126380.46,1,4,189320.89,2,304,0,0,0,6,10,1,2,87,94,65,29,High Risk,1.42,0.8
71,0,90482.2,2,1,0,104018.84,3,4,248556.23,0,640,2,1,1,7,3,1,2,32,35,67,-32,Low Risk,0.51,2.75
56,1,17427.85,3,2,1,149612.0,2,7,4554.27,3,445,2,0,0,2,3,1,2,88,47,60,-13,Low Risk,0.77,0.26
71,1,227166.63,3,3,3,152465.09,0,2,42403.74,0,727,3,0,0,5,10,0,3,76,58,86,-28,Low Risk,0.67,0.19
79,0,95055.8,1,2,2,84517.24,0,9,180182.09,1,819,3,2,1,1,2,0,4,0,83,67,16,Medium Risk,1.22,1.9
35,0,134023.81,1,1,3,114221.44,3,1,189610.1,1,464,2,0,0,4,2,1,1,45,66,51,15,Medium Risk,1.27,1.41
42,0,218971.06,1,3,2,227484.11,2,10,153299.91,0,689,2,0,0,4,8,0,2,7,68,79,-11,Low Risk,0.85,0.7
80,0,117155.33,1,3,3,150471.36,1,6,70728.33,1,365,1,2,1,0,3,0,2,76,62,57,5,Medium Risk,1.07,0.6
20,0,42854.73,2,1,2,45109.44,0,3,125137.94,3,494,2,2,1,10,6,1,0,56,87,38,49,High Risk,2.23,2.92
80,0,71278.77,4,0,0,185691.71,2,2,236088.29,2,340,0,0,1,5,10,0,1,2,71,60,11,Medium Risk,1.16,3.31
28,0,189421.24,2,3,3,59628.9,1,5,183779.8,1,447,2,1,1,5,9,1,2,76,77,63,14,Medium Risk,1.2,0.97
39,1,239229.53,4,3,1,238563.76,3,4,68020.7,1,654,1,1,0,7,9,1,2,81,43,96,-53,Low Risk,0.44,0.28
39,1,144156.29,2,1,1,54354.23,0,1,17757.11,2,666,1,0,0,0,4,0,0,59,67,49,18,Medium Risk,1.34,0.12
29,0,57761.14,2,1,0,217347.17,3,5,120652.27,0,768,2,2,1,5,5,1,4,95,29,78,-49,Low Risk,0.37,2.09
43,1,25303.73,2,2,1,59126.96,1,3,134294.49,3,847,1,1,0,0,1,1,3,22,61,64,-3,Medium Risk,0.94,5.31
61,1,230904.04,4,1,3,161872.09,1,8,211277.16,1,672,2,1,1,4,3,1,4,26,61,84,-23,Low Risk,0.72,0.91
25,0,135198.67,3,2,2,10164.4,2,2,12041.46,1,468,0,0,1,10,1,1,0,45,50,56,-6,Medium Risk,0.88,0.09
42,0,119791.83,1,0,2,233577.2,3,1,71129.26,0,801,1,2,0,0,2,1,4,24,47,77,-30,Low Risk,0.6,0.59
67,1,201838.78,1,0,2,191694.4,1,2,41879.86,0,590,1,1,1,9,2,0,4,1,43,66,-23,Low Risk,0.64,0.21
39,0,193679.83,1,1,0,231274.53,0,4,62449.56,3,308,0,2,0,8,8,0,4,9,88,64,24,High Risk,1.35,0.32
44,1,121486.22,1,1,0,227548.81,0,10,181631.83,3,525,2,0,0,6,10,1,3,15,86,51,35,High Risk,1.65,1.5
25,7,34320.48,1,0,0,133860.08,2,7,195942.22,0,671,3,2,1,6,1,0,4,86,55,60,-5,Medium Risk,0.9,5.71
24,0,56200.39,2,0,0,207186.07,0,5,39360.82,0,326,3,2,0,6,0,1,4,94,78,46,32,High Risk,1.66,0.7
41,1,168326.38,4,3,2,230071.42,1,6,130589.37,3,378,2,2,0,6,3,1,1,28,69,80,-11,Low Risk,0.85,0.78
44,1,83472.3,4,2,1,229532.41,1,1,183045.8,0,362,1,1,1,4,5,1,3,16,77,55,22,High Risk,1.38,2.19
65,1,166841.21,4,0,0,227750.24,0,9,108058.55,0,668,3,2,0,10,4,1,0,67,68,76,-8,Medium Risk,0.88,0.65
73,0,148813.72,4,1,0,51891.56,1,3,15245.66,1,326,0,0,1,3,0,0,3,16,46,60,-14,Low Risk,0.75,0.1
82,1,124039.67,3,3,3,83284.89,3,1,181999.78,0,631,1,0,0,10,10,0,1,75,60,68,-8,Medium Risk,0.87,1.47
51,0,129763.38,2,3,1,97145.77,3,3,119169.72,2,391,3,0,1,5,10,1,4,75,56,69,-13,Low Risk,0.8,0.92
45,1,225517.09,2,0,2,112861.75,2,3,21753.65,0,642,2,2,1,5,8,1,1,99,31,85,-54,Low Risk,0.36,0.1
23,5,19815.58,1,0,3,98182.13,1,6,139161.5,1,715,1,0,1,3,2,0,0,22,72,37,35,High Risk,1.89,7.02
24,1,30140.72,2,2,3,65697.16,1,8,51721.76,0,532,3,0,0,6,6,1,3,22,84,36,48,High Risk,2.27,1.72
44,0,76210.28,3,0,2,204433.1,0,5,26513.16,0,831,2,0,0,9,10,0,0,20,69,73,-4,Medium Risk,0.93,0.35
51,0,246193.51,4,3,0,142408.74,3,7,73516.27,2,454,1,0,0,8,6,0,0,84,49,82,-33,Low Risk,0.59,0.3
25,0,216554.59,2,1,3,107756.0,2,7,30998.54,1,651,2,2,1,9,9,1,3,69,35,94,-59,Low Risk,0.37,0.14
71,0,57057.7,4,2,3,146952.25,2,2,103328.69,1,499,0,1,1,5,8,0,0,23,68,56,12,Medium Risk,1.19,1.81
51,0,139084.99,4,2,1,70263.93,3,5,91986.02,0,758,0,0,1,0,1,1,3,36,38,76,-38,Low Risk,0.49,0.66
71,1,27446.07,4,1,3,1876.1,0,3,102276.86,2,611,2,1,1,9,8,1,1,32,61,54,7,Medium Risk,1.11,3.73
65,0,154390.33,4,3,3,183245.08,0,4,244480.89,0,477,0,1,0,7,8,1,2,42,98,66,32,High Risk,1.46,1.58
53,0,151348.98,3,0,2,75704.01,3,4,230342.13,3,701,0,1,1,3,6,1,1,25,55,83,-28,Low Risk,0.65,1.52
25,1,17144.97,2,2,0,236680.43,1,2,94198.15,1,711,3,2,1,7,3,0,4,29,47,63,-16,Low Risk,0.73,5.49
23,0,201278.38,2,3,0,43788.73,3,6,181577.68,3,333,0,0,0,5,7,1,1,52,76,61,15,Medium Risk,1.23,0.9
28,1,177697.71,3,1,2,59097.8,2,10,146155.01,0,464,1,0,1,10,1,0,3,20,63,60,3,Medium Risk,1.03,0.82
80,1,145337.74,2,0,0,245752.44,0,7,153824.5,1,794,0,2,0,7,5,0,3,35,69,76,-7,Medium Risk,0.9,1.06
70,0,200703.08,2,0,2,39020.83,3,4,114871.84,2,479,1,2,1,9,7,0,4,37,58,73,-15,Low Risk,0.78,0.57
29,0,39219.58,2,3,0,229970.72,1,10,38214.13,1,361,0,0,1,5,8,0,3,68,66,44,22,High Risk,1.47,0.97
29,3,25760.56,3,1,1,133559.71,2,10,98281.65,3,368,2,2,1,2,4,0,4,40,72,56,16,Medium Risk,1.26,3.82
57,7,79821.15,2,0,3,208184.88,1,10,149415.89,2,691,0,1,0,8,2,0,3,96,83,66,17,Medium Risk,1.24,1.87
36,0,231749.93,2,1,3,72169.84,1,4,709.9,2,493,3,0,1,7,0,1,0,45,45,68,-23,Low Risk,0.65,0.0
67,1,121390.2,3,2,0,144855.4,2,4,110709.39,0,776,2,2,1,3,5,1,4,42,23,90,-67,Low Risk,0.25,0.91
65,6,40157.25,3,3,0,19596.36,2,3,139418.48,2,722,1,1,1,6,4,0,0,0,32,68,-36,Low Risk,0.46,3.47
73,0,113963.69,2,2,0,78857.66,3,1,241976.85,0,714,0,2,1,6,0,0,3,74,54,72,-18,Low Risk,0.74,2.12
44,0,221162.28,1,0,1,157034.26,0,7,204412.83,3,682,2,0,0,2,1,1,2,15,91,63,28,High Risk,1.42,0.92
23,0,53255.29,1,2,2,205117.39,3,3,193376.72,2,712,3,2,0,2,6,1,4,25,75,68,7,Medium Risk,1.09,3.63
27,0,106758.35,4,0,0,206373.68,2,4,169794.77,1,310,1,0,1,2,0,1,0,65,63,59,4,Medium Risk,1.05,1.59
39,1,179331.74,1,2,1,78686.4,3,9,178142.12,0,581,2,0,1,10,5,0,3,38,67,56,11,Medium Risk,1.18,0.99
51,1,58544.78,3,2,0,151359.86,2,6,89891.19,3,699,1,2,0,10,5,1,0,83,33,74,-41,Low Risk,0.44,1.54
18,0,8857.48,1,2,3,216387.34,1,9,176019.53,0,474,2,1,1,7,3,1,3,80,91,43,48,High Risk,2.07,19.87
56,0,208251.18,3,1,2,28112.55,2,2,69212.33,2,662,3,0,1,4,6,1,3,36,32,86,-54,Low Risk,0.37,0.33
69,0,215258.1,4,3,0,136130.04,2,1,232275.26,2,472,0,1,0,6,9,0,0,89,75,78,-3,Medium Risk,0.95,1.08
29,0,121177.56,1,1,0,101824.74,3,7,15109.25,0,587,1,1,0,2,5,1,2,21,39,55,-16,Low Risk,0.7,0.12
85,1,115424.35,3,3,1,168632.88,1,10,93630.06,0,331,0,2,0,7,3,0,0,36,70,61,9,Medium Risk,1.13,0.81
59,1,215070.51,4,2,1,131655.94,1,4,211914.26,1,687,0,0,1,10,9,0,1,90,78,78,0,Medium Risk,0.99,0.99
35,1,165864.23,1,0,2,213149.4,2,4,191419.84,2,769,3,2,1,9,10,0,2,69,51,94,-43,Low Risk,0.54,1.15
49,0,109870.03,3,3,3,66778.08,2,2,10037.42,3,586,3,2,0,3,9,1,1,89,45,77,-32,Low Risk,0.58,0.09
84,1,204616.42,2,0,2,223995.52,3,6,148475.95,2,669,3,1,1,5,7,0,1,85,44,87,-43,Low Risk,0.5,0.73
21,1,164771.67,3,3,1,117122.22,1,7,136056.25,3,390,1,1,1,8,4,0,1,33,76,69,7,Medium Risk,1.09,0.83
33,1,55347.55,3,2,3,143207.35,1,8,152061.89,3,783,2,0,1,9,6,0,3,46,76,75,1,Medium Risk,1.0,2.75
83,1,53905.07,3,3,0,136326.08,1,6,57421.96,3,565,2,1,1,8,4,1,3,65,32,74,-42,Low Risk,0.43,1.07
77,5,208492.4,2,1,1,7053.78,3,6,127391.12,1,437,0,2,0,4,10,0,1,76,73,62,11,Medium Risk,1.16,0.61
36,1,216414.99,2,2,1,103824.12,1,8,214819.99,2,546,2,1,1,1,7,0,2,19,92,60,32,High Risk,1.51,0.99
82,0,166849.67,4,0,3,8346.03,3,3,156306.63,0,840,0,1,1,9,10,1,1,23,48,93,-45,Low Risk,0.51,0.94
35,1,193152.9,3,2,1,48694.99,1,7,123571.48,0,684,2,1,0,1,2,0,2,36,73,59,14,Medium Risk,1.22,0.64
71,1,43871.6,2,2,3,233985.81,3,9,124362.1,2,668,2,0,1,7,3,0,4,47,51,66,-15,Low Risk,0.76,2.83
76,0,123814.83,2,3,1,17613.62,2,8,75927.8,1,572,2,2,1,10,10,0,1,11,48,69,-21,Low Risk,0.69,0.61
36,1,223067.5,1,3,2,25865.97,0,8,72160.59,2,341,3,2,1,0,7,0,1,44,83,61,22,High Risk,1.34,0.32
61,0,197804.58,3,2,3,167262.45,2,4,115985.64,1,423,3,2,1,6,6,0,1,69,63,78,-15,Low Risk,0.8,0.59
35,1,151098.16,1,1,3,81504.96,3,5,140128.11,0,793,2,2,0,8,2,0,4,27,43,81,-38,Low Risk,0.52,0.93
81,1,195906.95,2,1,3,141874.66,3,1,238431.22,2,804,1,0,1,3,8,1,4,57,44,89,-45,Low Risk,0.49,1.22
19,1,25868.26,3,0,2,128720.32,1,5,53548.45,1,783,0,1,1,6,3,1,2,58,52,66,-14,Low Risk,0.78,2.07
74,0,9851.41,4,0,2,144569.46,1,5,31624.32,2,804,0,0,0,9,1,1,3,8,42,79,-37,Low Risk,0.53,3.21
70,0,227825.3,3,0,2,148780.35,2,9,198770.85,0,669,3,2,0,5,6,0,1,57,70,88,-18,Low Risk,0.79,0.87
24,0,196526.51,2,1,2,163053.42,1,1,111485.6,1,565,1,2,0,5,10,1,3,30,86,54,32,High Risk,1.56,0.57
25,1,159714.26,2,1,1,113625.76,1,4,109653.22,0,576,3,0,1,3,5,1,0,6,57,50,7,Medium Risk,1.12,0.69
84,1,179332.8,1,1,2,142117.65,3,5,87253.59,3,373,1,2,0,0,1,0,2,18,55,66,-11,Low Risk,0.82,0.49
82,1,36590.0,1,2,3,52244.59,2,3,69241.32,2,335,3,0,0,4,7,1,4,45,57,50,7,Medium Risk,1.12,1.89
21,1,75788.75,1,0,0,72676.55,3,5,119872.73,3,518,1,2,1,7,0,1,4,45,47,54,-7,Medium Risk,0.85,1.58
30,1,108799.18,2,3,0,127986.52,3,6,74385.11,0,602,0,2,0,2,8,1,4,27,48,63,-15,Low Risk,0.75,0.68
29,1,98700.2,2,2,3,210632.83,1,8,201414.68,0,820,0,1,1,9,7,1,2,85,79,77,2,Medium Risk,1.01,2.04
40,1,157000.19,3,0,3,73764.49,1,9,60732.85,0,384,2,0,0,4,2,1,3,4,75,58,17,Medium Risk,1.27,0.39
48,1,49632.7,1,2,0,103888.33,3,5,97862.47,0,359,3,1,0,7,10,0,0,7,63,43,20,Medium Risk,1.43,1.97
63,0,26712.98,4,0,2,135270.34,2,1,183860.82,1,444,1,0,0,7,2,1,3,79,68,54,14,Medium Risk,1.24,6.88
85,0,112558.57,4,2,2,112785.71,3,4,162255.06,1,677,2,1,0,9,9,1,0,26,62,78,-16,Low Risk,0.78,1.44
43,0,246846.91,1,0,3,139409.84,1,6,14650.28,3,678,2,0,1,3,10,1,2,61,47,79,-32,Low Risk,0.59,0.06
49,1,221894.01,1,0,1,90799.48,3,10,11058.37,0,545,3,2,0,0,1,1,4,22,51,66,-15,Low Risk,0.76,0.05
68,0,148579.59,3,2,2,95098.57,2,7,146983.96,2,705,1,2,1,5,2,0,0,92,44,77,-33,Low Risk,0.56,0.99
78,0,49134.19,3,3,3,77304.21,3,3,248190.03,2,380,3,1,0,6,4,0,4,67,72,65,7,Medium Risk,1.09,5.05
36,1,92418.31,3,1,3,679.41,2,5,21458.3,1,561,0,2,1,4,10,0,2,23,42,53,-11,Low Risk,0.78,0.23
24,2,74201.09,2,2,0,198721.09,2,7,189466.2,2,785,2,0,1,4,6,1,4,27,55,75,-20,Low Risk,0.72,2.55
64,0,216083.89,1,1,1,141828.53,2,4,55905.31,0,639,3,1,1,3,10,1,3,72,35,80,-45,Low Risk,0.43,0.26
26,1,85115.71,1,2,2,9926.02,2,4,167596.89,2,832,0,2,0,6,1,0,2,48,65,71,-6,Medium Risk,0.9,1.97
75,1,213367.39,1,2,3,192318.14,0,3,94236.78,0,390,1,2,1,8,0,1,2,5,69,66,3,Medium Risk,1.03,0.44
82,7,83554.51,3,0,3,146394.74,2,10,32167.95,0,560,3,1,1,6,10,0,0,46,54,65,-11,Low Risk,0.82,0.38
78,0,141766.14,4,1,2,109800.6,2,5,186426.89,1,757,3,1,1,4,2,0,1,63,38,93,-55,Low Risk,0.4,1.32
22,7,170910.06,3,0,0,130182.78,2,6,8264.36,0,761,0,2,0,1,0,0,1,44,51,84,-33,Low Risk,0.6,0.05
32,0,50610.86,2,1,3,86941.6,3,6,196990.62,0,355,0,0,1,3,0,0,1,52,72,39,33,High Risk,1.8,3.89
72,0,88741.7,2,1,2,164899.44,3,7,96775.86,0,473,1,0,0,6,6,1,2,3,49,53,-4,Medium Risk,0.91,1.09
77,1,133403.33,2,1,2,215774.83,2,1,231072.03,0,520,0,1,0,8,8,0,0,31,75,59,16,Medium Risk,1.25,1.73
45,1,132268.08,1,3,3,21013.37,1,10,67120.89,0,415,3,1,1,10,1,1,2,70,52,61,-9,Medium Risk,0.84,0.51
29,0,17309.44,4,2,0,234852.24,1,3,21509.14,2,843,3,0,0,1,0,0,2,31,53,72,-19,Low Risk,0.73,1.24
18,0,198159.46,2,0,3,31843.7,0,1,126008.27,2,636,1,1,1,8,2,1,3,98,82,54,28,High Risk,1.49,0.64
36,0,22641.69,2,2,1,209305.47,1,2,73778.96,2,633,1,0,0,10,10,1,2,42,67,50,17,Medium Risk,1.31,3.26
55,0,97437.39,2,0,2,32486.49,0,8,201518.81,2,688,0,1,1,9,9,1,0,29,94,52,42,High Risk,1.77,2.07
40,5,80445.91,3,1,0,203185.94,2,5,16517.35,2,515,0,1,0,10,1,1,3,88,38,69,-31,Low Risk,0.54,0.21
28,1,237369.22,4,1,3,229603.79,1,6,123429.74,0,587,3,0,0,4,8,1,1,87,73,67,6,Medium Risk,1.07,0.52
32,0,65525.87,3,0,1,10729.06,0,3,195301.84,3,328,2,0,0,1,2,0,1,85,100,34,66,High Risk,2.86,2.98
85,1,173134.97,2,0,0,21379.44,2,1,49366.69,1,409,0,1,1,2,10,0,1,84,46,61,-15,Low Risk,0.74,0.29
82,0,222469.45,2,2,1,164738.88,1,9,56084.6,3,792,2,1,1,7,6,0,0,24,58,92,-34,Low Risk,0.62,0.25
74,1,42798.72,4,2,2,144296.16,1,6,212405.06,1,344,0,0,1,0,6,0,2,48,91,44,47,High Risk,2.02,4.96
75,0,20306.66,1,3,2,221578.18,1,7,114033.2,1,626,2,0,1,4,2,1,0,52,45,54,-9,Medium Risk,0.82,5.62
56,1,86918.47,4,0,1,17555.15,1,6,49408.88,2,767,0,2,0,3,1,1,2,98,40,70,-30,Low Risk,0.56,0.57
36,0,12129.66,1,2,0,55791.39,2,2,174982.1,2,351,3,1,0,8,2,0,1,59,72,51,21,High Risk,1.38,14.42
67,0,104213.64,3,2,3,49403.06,1,9,74280.03,3,333,2,2,0,8,8,0,0,30,90,60,30,High Risk,1.48,0.71
66,0,111303.08,1,0,0,92571.76,1,3,193038.76,1,524,2,2,1,0,1,0,3,77,63,50,13,Medium Risk,1.24,1.73
28,1,170722.61,1,1,0,21576.05,0,9,110547.33,1,797,0,2,0,4,8,1,1,31,78,61,17,Medium Risk,1.26,0.65
45,1,226736.16,3,0,1,126029.13,3,8,162774.79,3,827,2,1,1,4,10,0,0,2,59,94,-35,Low Risk,0.62,0.72
46,0,110298.19,3,3,3,19338.69,2,1,157491.57,3,508,2,0,0,9,3,1,0,79,62,59,3,Medium Risk,1.03,1.43
22,1,70489.65,1,1,2,138376.59,2,4,139596.86,2,520,3,2,1,1,2,0,0,81,60,46,14,Medium Risk,1.28,1.98
